Election: 2009 Consolidated
Jurisdiction:  Winnebago
Date:  2009-04-07 00:00:00
Registered Voters:  101913
Ballots Cast:  15473
Voter Turnout:  15
Active Precincts:  108

Election: 2009 Consolidated
Contest: C Loves Park Mayor
Candidate Name,Total Votes,Vote %
Darryl F. Lindberg (NP), 1525, 100, 

Contest: C Loves Park Clerk
Candidate Name,Total Votes,Vote %
Robert J. Burden (NP), 1424, 100, 

Contest: C Loves Park Treasurer
Candidate Name,Total Votes,Vote %
John C. Danielson (NP), 1419, 100, 

Contest: W1 C Loves Park
Candidate Name,Total Votes,Vote %
Clint Little (NP), 296, 100, 

Contest: W2 C Loves Park
Candidate Name,Total Votes,Vote %
Thomas K. Laughlin (NP), 256, 69.38, 
Daniel Naill (NP), 113, 30.62, 

Contest: W3 C Loves Park
Candidate Name,Total Votes,Vote %
Richard O. Brinker (NP), 222, 100, 

Contest: W4 C Loves Park
Candidate Name,Total Votes,Vote %
John Jacobson (NP), 272, 100, 

Contest: W5 C Loves Park Full Term
Candidate Name,Total Votes,Vote %
A. Marie Holmes (NP), 300, 100, 

Contest: W5 C Loves Park Unexpired Term
Candidate Name,Total Votes,Vote %
Mark Peterson (NP), 296, 100, 

Contest: V C. Valley President
Candidate Name,Total Votes,Vote %
James E. Claeyssen (NP), 384, 100, 

Contest: V C. Valley Trustee Full Term
Candidate Name,Total Votes,Vote %
Gary L. Maitland (NP), 279, 26.52, 
Scott Kramer (NP), 240, 22.81, 
David Schroeder (NP), 210, 19.96, 
John F. Falzone (NP), 203, 19.3, 
Brian J. Rawson (NP), 120, 11.41, 

Contest: V C. Valley Trustee Unexpired Term
Candidate Name,Total Votes,Vote %
James A. Coppernoll (NP), 279, 68.89, 
Vince Steder (NP), 126, 31.11, 

Contest: V Durand President
Candidate Name,Total Votes,Vote %
Gary L. Haughton (NP), 145, 100, 

Contest: V Durand Clerk
Candidate Name,Total Votes,Vote %
Sheila A. Janisch (NP), 127, 86.39, 
John A. Welsh (NP), 20, 13.61, 

Contest: V Mac Park President
Candidate Name,Total Votes,Vote %
Tom Strickland (NP), 1876, 58.96, 
Joseph A. Terrell (NP), 1306, 41.04, 

Contest: V Mac Park Clerk
Candidate Name,Total Votes,Vote %
Lori J. Mitchell (NP), 2651, 100, 

Contest: V Mac Park Treasurer
Candidate Name,Total Votes,Vote %
Steve Johnson (NP), 2123, 66.87, 
Lynda Bolin (NP), 1052, 33.13, 

Contest: D1 V Mac Park Trustee
Candidate Name,Total Votes,Vote %
Jerry D. Bolin (NP), 337, 46.74, 
Ed Langley (NP), 246, 34.12, 
Dave DeSanti (NP), 138, 19.14, 

Contest: D3 V Mac Park Trustee
Candidate Name,Total Votes,Vote %
Phillip R. Johnson (NP), 234, 45.97, 
Ed VanVleet (NP), 160, 31.43, 
Michael A. Luke (NP), 115, 22.59, 

Contest: D4 V Mac Park Trustee
Candidate Name,Total Votes,Vote %
J. Tim Gentry (NP), 269, 50.28, 
Stanley J. Wentland (NP), 266, 49.72, 

Contest: V New Millford Trustee
Candidate Name,Total Votes,Vote %
Thomas J. Lamb (NP), 52, 23.64, 
Deanna Rodgers (NP), 46, 20.91, 
Michael W. Virtue (NP), 44, 20, 
Ronald L. Tucker (NP), 43, 19.55, 
Dale W. Johnson (NP), 35, 15.91, 

Contest: V Pecatonica President
Candidate Name,Total Votes,Vote %
Shawn M. Connors (NP), 345, 56.65, 
Ross E. Parlapiano (NP), 227, 37.27, 
Daniel R. Mathews (NP), 37, 6.08, 

Contest: V Pecatonica Trustee Full Term
Candidate Name,Total Votes,Vote %
Kristina K. Tarbert (NP), 451, 29.69, 
John C. Moyer (NP), 401, 26.4, 
Stephen J. Eytalis (NP), 377, 24.82, 
William H. Smull (NP), 290, 19.09, 

Contest: V Pecatonica Trustee Unexpired Term
Candidate Name,Total Votes,Vote %
Steven J. Sager (NP), 381, 67.67, 
Troy Goodwin (NP), 182, 32.33, 

Contest: V Rockton President
Candidate Name,Total Votes,Vote %
Dale B. Adams (NP), 623, 62.74, 
J. Gary Cooper (NP), 370, 37.26, 

Contest: V Rockton Clerk
Candidate Name,Total Votes,Vote %
Jan Modersohn (NP), 819, 100, 

Contest: V Rockton Trustee
Candidate Name,Total Votes,Vote %
Dave Winters (NP), 686, 28.18, 
John Peterson (NP), 504, 20.71, 
Joshua D. Brown (NP), 449, 18.45, 
Cory Allen Magnus (NP), 421, 17.3, 
Ambyr K. Knight (NP), 374, 15.37, 

Contest: V Roscoe Clerk
Candidate Name,Total Votes,Vote %
Bonnie L. Miles (NP), 429, 43.69, 
Charlene Fiore (NP), 297, 30.24, 
Katherine Kliebe (NP), 256, 26.07, 

Contest: V Roscoe Trustee
Candidate Name,Total Votes,Vote %
Susan K. Petty (NP), 634, 29.54, 
Dennis L. Sole (NP), 518, 24.14, 
Michael DuBree (NP), 500, 23.3, 
Scott D. Richardson (NP), 494, 23.02, 

Contest: V Winnebago President
Candidate Name,Total Votes,Vote %
Franklin J. Eubank (NP), 324, 48.29, 
Martin Speracino (NP), 180, 26.83, 
Stephen L. Butler (NP), 113, 16.84, 
Vivian Gaines (NP), 54, 8.05, 

Contest: V Winnebago Clerk
Candidate Name,Total Votes,Vote %
Sally Jo Huggins (NP), 564, 100, 

Contest: V Winnebago Trustee
Candidate Name,Total Votes,Vote %
Paul Elsen (NP), 442, 27.12, 
Gregory Leonard (NP), 313, 19.2, 
Roger Smith (NP), 307, 18.83, 
Dana Ostergard (NP), 220, 13.5, 
Mark Hubbartt (NP), 207, 12.7, 
Dale Hillers (NP), 141, 8.65, 

Contest: Burritt Twp Clerk
Candidate Name,Total Votes,Vote %
Delores E. Schelm (NP), 93, 100, 

Contest: Burritt Twp Hwy Commissioner
Candidate Name,Total Votes,Vote %
Gary Schumacher (NP), 60, 59.41, 
Michael Helwig (NP), 41, 40.59, 

Contest: Burritt Twp Trustee
Candidate Name,Total Votes,Vote %
Allen Ferling (NP), 77, 29.17, 
Roger McDougall (NP), 75, 28.41, 
Tony Grotto (NP), 58, 21.97, 
Karrie Helwig (NP), 54, 20.45, 

Contest: Cherry Valley Twp Supervisor
Candidate Name,Total Votes,Vote %
Randy F. Sturm (NP), 624, 50.81, 
Wendy Owano (NP), 604, 49.19, 

Contest: Cherry Valley Twp Clerk
Candidate Name,Total Votes,Vote %
Brian P. Flynn (NP), 1023, 100, 

Contest: Cherry Valley Twp Assessor
Candidate Name,Total Votes,Vote %
Danielle Giacomazzo (NP), 865, 100, 

Contest: Cherry Valley Twp Hwy Commissioner
Candidate Name,Total Votes,Vote %
Pat O&#039;Donnell (NP), 1034, 100, 

Contest: Cherry Valley Twp Trustee
Candidate Name,Total Votes,Vote %
Jill Leigh (NP), 732, 19.89, 
Donald L. Carlson (NP), 724, 19.67, 
Eugene S. Bolek (NP), 624, 16.95, 
William Wetzbarger (NP), 551, 14.97, 
S. Terry Scamp (NP), 550, 14.94, 
Thomas J. Johnson (NP), 500, 13.58, 

Contest: Durand Twp Supervisor
Candidate Name,Total Votes,Vote %
Edward L. Mueller (NP), 188, 100, 

Contest: Durand Twp Clerk
Candidate Name,Total Votes,Vote %
Lolita Ditzler (NP), 215, 100, 

Contest: Durand Twp Hwy Commissioner
Candidate Name,Total Votes,Vote %
Kim Steward (NP), 207, 100, 

Contest: Durand Twp Trustee
Candidate Name,Total Votes,Vote %
Glenn M. Matteson (NP), 199, 28.55, 
David E. Meissen (NP), 184, 26.4, 
Richard Cuthbertson (NP), 163, 23.39, 
Neil F. Dreier (NP), 151, 21.66, 

Contest: Harlem Twp Supervisor
Candidate Name,Total Votes,Vote %
Douglas R. Aurand (NP), 2445, 52.19, 
Jerry Lemmons (NP), 2240, 47.81, 

Contest: Harlem Twp Clerk
Candidate Name,Total Votes,Vote %
Sheryl Crowley (NP), 2335, 51.09, 
Dawn Cacioppi (NP), 2235, 48.91, 

Contest: Harlem Twp Assessor
Candidate Name,Total Votes,Vote %
Mark Lee Sorrentino (NP), 3650, 100, 

Contest: Harlem Twp Hwy Commissioner
Candidate Name,Total Votes,Vote %
Richard P. Thompson (NP), 2303, 50.66, 
Glenn &#039;Bud&#039; Wilkins (NP), 2243, 49.34, 

Contest: Harlem Twp Trustee
Candidate Name,Total Votes,Vote %
Bob Mullins (NP), 2379, 14.18, 
Donald J. Gasparini (NP), 2325, 13.86, 
John M. Cabello (NP), 2234, 13.32, 
Terri L. Knight (NP), 2090, 12.46, 
Linda Woodrow-Mertz (NP), 2073, 12.36, 
Luke Meyer (NP), 2044, 12.19, 
Anthony L. Miceli (NP), 1837, 10.95, 
Carlos Torres (NP), 1790, 10.67, 

Contest: Harrison Twp Supervisor
Candidate Name,Total Votes,Vote %
Dennis Wilke (NP), 61, 100, 

Contest: Harrison Twp Clerk
Candidate Name,Total Votes,Vote %
Sandra Tucker (NP), 64, 100, 

Contest: Harrison Twp Hwy Commissioner
Candidate Name,Total Votes,Vote %
Ben Dolan (NP), 62, 100, 

Contest: Harrison Twp Trustee
Candidate Name,Total Votes,Vote %
Nathan J. Wirtjes (NP), 50, 25, 
Robert Rogers (NP), 50, 25, 
Robert Kinney (NP), 50, 25, 
Kerwood Watts (NP), 50, 25, 

Contest: Laona Twp Supervisor
Candidate Name,Total Votes,Vote %
J Ronald Waldschmidt (NP), 111, 100, 

Contest: Laona Twp Clerk
Candidate Name,Total Votes,Vote %
Lucille A. Duerst (NP), 110, 100, 

Contest: Laona Twp Hwy Commissioner
Candidate Name,Total Votes,Vote %
Kerry Steward (NP), 107, 100, 

Contest: Laona Twp Trustee
Candidate Name,Total Votes,Vote %
Gerald O. Duerst (NP), 98, 26.63, 
Sandra Dolan (NP), 93, 25.27, 
Denise Walsh (NP), 93, 25.27, 
Richard F. Fiedler (NP), 84, 22.83, 

Contest: Owen Twp Supervisor
Candidate Name,Total Votes,Vote %
Owen T. Bach (NP), 447, 100, 

Contest: Owen Twp Clerk
Candidate Name,Total Votes,Vote %
Thomas Ragnar (NP), 446, 100, 

Contest: Owen Twp Assessor
Candidate Name,Total Votes,Vote %
Trent Ferguson (NP), 447, 100, 

Contest: Owen Twp Hwy Commissioner
Candidate Name,Total Votes,Vote %
Charles Barnes (NP), 346, 68.92, 
Brian Steward (NP), 156, 31.08, 

Contest: Owen Twp Trustee
Candidate Name,Total Votes,Vote %
Ben K. Schleicher (NP), 391, 27.5, 
Nord Swanstrom (NP), 359, 25.25, 
Roger Fenelon (NP), 338, 23.77, 
Gerald Wiltfang (NP), 334, 23.49, 

Contest: Pecatonica Twp Supervisor
Candidate Name,Total Votes,Vote %
Joseph L. Musso (NP), 539, 57.28, 
James A. Anderson (NP), 402, 42.72, 

Contest: Pecatonica Twp Clerk
Candidate Name,Total Votes,Vote %
Meredith R. Owens (NP), 494, 56.85, 
Dorothee McAuliffe (NP), 375, 43.15, 

Contest: Pecatonica Twp Hwy Commissioner
Candidate Name,Total Votes,Vote %
Bruce T. Lizer (NP), 814, 100, 

Contest: Pecatonica Twp Trustee
Candidate Name,Total Votes,Vote %
Richard A. Zimmerman (NP), 703, 23.84, 
Scott Hamilton (NP), 648, 21.97, 
Francis Alex (NP), 595, 20.18, 
Vernell J. Sarver (NP), 510, 17.29, 
Robert G. Eiss (NP), 493, 16.72, 

