Election: 2006 General
Jurisdiction:  Winnebago
Date:  2006-11-04 00:00:00
Registered Voters:  102294
Ballots Cast:  42652
Voter Turnout:  42
Active Precincts:  127

Election: 2006 General
Contest: GOVERNOR/LT GOVERNOR
Candidate Name,Total Votes,Vote %
BLAGOJEVICH/QUINN (NP), 16084, 38.41, 
TOPINKA/BIRKETT (NP), 14662, 35.01, 
WHITNEY/SAMUELS (NP), 9911, 23.67, 
Write-In (NP), 1221, 2.92, 

Contest: ATTORNEY GENERAL
Candidate Name,Total Votes,Vote %
LISA MADIGAN (NP), 27372, 65.62, 
STEWART UMHOLTZ (NP), 12007, 28.78, 
DAVID BLACK (NP), 2290, 5.49, 
Write-In (NP), 44, 0.11, 

Contest: SECRETARY OF STATE
Candidate Name,Total Votes,Vote %
DAN RUTHERFORD (NP), 19707, 47.02, 
JESSE WHITE (NP), 18535, 44.22, 
KAREN  PETERSON (NP), 3638, 8.68, 
Write-In (NP), 33, 0.08, 

Contest: COMPTROLLER
Candidate Name,Total Votes,Vote %
DANIEL W. HYNES (NP), 21103, 51.86, 
CAROLE PANKAU (NP), 16770, 41.21, 
ALICIA SNYDER (NP), 2782, 6.84, 
Write-In (NP), 39, 0.1, 

Contest: STATE TREASURER
Candidate Name,Total Votes,Vote %
CHRISTINE RADOGNO (NP), 21264, 52.46, 
ALEX GIANNOULIAS (NP), 16155, 39.85, 
DAN R. SCHLORFF (NP), 3065, 7.56, 
Write-In (NP), 52, 0.13, 

Contest: D16 REPRESENTATIVE
Candidate Name,Total Votes,Vote %
DONALD A. MANZULLO (NP), 26307, 62.52, 
RICHARD D. AUMAN (NP), 12114, 28.79, 
Write-In (NP), 3656, 8.69, 

Contest: D34 STATE SENATOR
Candidate Name,Total Votes,Vote %
DAVE SYVERSON (NP), 15342, 59.27, 
DANIEL LEWANDOWSKI (NP), 10403, 40.19, 
Write-In (NP), 138, 0.53, 

Contest: D45 STATE SENATOR
Candidate Name,Total Votes,Vote %
TODD W. SIEBEN (NP), 4263, 98.5, 
Write-In (NP), 65, 1.5, 
No Candidate (NP), 0, 0, 

Contest: D67 REP GEN ASMBLY
Candidate Name,Total Votes,Vote %
CHARLES JEFFERSON (NP), 3081, 97.32, 
Write-In (NP), 85, 2.68, 
