Election: 2004 General
Jurisdiction:  Winnebago
Date:  2004-11-04 00:00:00
Registered Voters:  106593
Ballots Cast:  64554
Voter Turnout:  61
Active Precincts:  127

Election: 2004 General
Contest: PRESIDENT/VICE PRES
Candidate Name,Total Votes,Vote %
GEORGE BUSH (NP), 35154, 54.57, 
JOHN F. KERRY (NP), 28647, 44.47, 
MICHAEL BADNARIK (NP), 420, 0.65, 
Write-in (NP), 198, 0.31, 

Contest: US SENATE
Candidate Name,Total Votes,Vote %
BARACK OBAMA (NP), 37754, 59.74, 
ALAN KEYES (NP), 23199, 36.71, 
ALBERT J. FRANZEN (NP), 1210, 1.91, 
JERRY KOHN (NP), 925, 1.46, 
Write-in (NP), 111, 0.18, 

Contest: 16TH CONGRESS
Candidate Name,Total Votes,Vote %
DONALD A. MANZULLO (NP), 44269, 69.93, 
JOHN H. KUTSCH (NP), 19015, 30.04, 
Write-in (NP), 21, 0.03, 

Contest: 35TH LEGISLATIVE
Candidate Name,Total Votes,Vote %
J. BRADLEY BURZYNSKI (NP), 10237, 68.59, 
BRUCE T. WASHINGTON (NP), 4675, 31.32, 
Write-in (NP), 14, 0.09, 

Contest: 67TH REPRESENTATIVE
Candidate Name,Total Votes,Vote %
CHARLES C JEFFERSON (NP), 4891, 98.51, 
Write-in (NP), 74, 1.49, 
NO CANDIDATE (NP), 0, 0, 

Contest: 68TH REPRESENTATIVE
Candidate Name,Total Votes,Vote %
DAVE WINTERS (NP), 20072, 59.95, 
CARROLL W. BRUMFIELD (NP), 13390, 39.99, 
Write-in (NP), 18, 0.05, 

Contest: 69TH REPRESENTATIVE
Candidate Name,Total Votes,Vote %
RONALD A. WAIT (NP), 12950, 99.29, 
Write-in (NP), 92, 0.71, 
NO CANDIDATE (NP), 0, 0, 

Contest: 89TH REPRESENTATIVE
Candidate Name,Total Votes,Vote %
JIM SACIA (NP), 6758, 99.44, 
Write-in (NP), 38, 0.56, 
NO CANDIDATE (NP), 0, 0, 

Contest: AUDITOR
Candidate Name,Total Votes,Vote %
W. THOMAS (TOM) ROSS (NP), 48493, 98.93, 
Write-in (NP), 525, 1.07, 
NO CANDIDATE (NP), 0, 0, 

Contest: CIRCUIT CLERK
Candidate Name,Total Votes,Vote %
MARC GASPARINI (NP), 36881, 59.84, 
DARLENE GULBRANTSON (NP), 24725, 40.12, 
Write-in (NP), 25, 0.04, 

Contest: COUNTY CORONER
Candidate Name,Total Votes,Vote %
ELIZABETH S FIDUCCIA (NP), 56297, 99.64, 
Write-in (NP), 206, 0.36, 
NO CANDIDATE (NP), 0, 0, 

Contest: RECORDER
Candidate Name,Total Votes,Vote %
KENNETH W. STAAF (NP), 38553, 63.57, 
CLINT LITTLE (NP), 22073, 36.39, 
Write-in (NP), 24, 0.04, 

Contest: STATES ATTORNEY
Candidate Name,Total Votes,Vote %
PAUL A. LOGLI (NP), 54586, 99.35, 
Write-in (NP), 358, 0.65, 
NO CANDIDATE (NP), 0, 0, 

Contest: COUNTY BOARD CHAIR
Candidate Name,Total Votes,Vote %
SCOTT CHRISTIANSEN (NP), 33687, 55.05, 
PAUL GORSKI (NP), 27473, 44.89, 
Write-in (NP), 35, 0.06, 

Contest: ESR (LEE&OGLE)
Candidate Name,Total Votes,Vote %
AMY JO CLEMENS (NP), 240, 100, 
NO CANDIDATE (NP), 0, 0, 
Write-in (NP), 0, 0, 

Contest: COUNTY BOARD DIST  1
Candidate Name,Total Votes,Vote %
DENNIS S. OWENS (NP), 8443, 99.31, 
Write-in (NP), 59, 0.69, 
NO CANDIDATE (NP), 0, 0, 

Contest: COUNTY BOARD DIST  2
Candidate Name,Total Votes,Vote %
JIM WEBSTER (NP), 8261, 99.26, 
Write-in (NP), 62, 0.74, 
NO CANDIDATE (NP), 0, 0, 

Contest: COUNTY BOARD DIST  3
Candidate Name,Total Votes,Vote %
DAVID KRIENKE (NP), 5514, 51.59, 
DOUGLAS R. AURAND (NP), 5169, 48.36, 
Write-in (NP), 5, 0.05, 

Contest: COUNTY BOARD DIST  4
Candidate Name,Total Votes,Vote %
JOHN H. HARMON (NP), 1760, 55.05, 
BETH WAIT (NP), 1434, 44.85, 
Write-in (NP), 3, 0.09, 

Contest: COUNTY BOARD DIST  5
Candidate Name,Total Votes,Vote %
PETER M PETE MACKAY (NP), 4456, 60.19, 
TERRY A. SKOGSBERG (NP), 2946, 39.79, 
Write-in (NP), 1, 0.01, 

Contest: COUNTY BOARD DIST  6
Candidate Name,Total Votes,Vote %
DOROTHY REDD (NP), 1096, 65.39, 
JOSHUA WEST (NP), 577, 34.43, 
Write-in (NP), 3, 0.18, 

Contest: COUNTY BOARD DIST  7
Candidate Name,Total Votes,Vote %
WILLIAM B PETERSON (NP), 780, 51.93, 
POLLY BERG (NP), 721, 48, 
Write-in (NP), 1, 0.07, 

Contest: COUNTY BOARD DIST  8
Candidate Name,Total Votes,Vote %
PHILLIP R. JOHNSON (NP), 4169, 55.48, 
NANCY EDWARDSEN (NP), 3342, 44.47, 
Write-in (NP), 4, 0.05, 

Contest: COUNTY BOARD DIST  9
Candidate Name,Total Votes,Vote %
PATTI THAYER (NP), 2338, 51.05, 
JUSTIN D. KROHN (NP), 2236, 48.82, 
Write-in (NP), 6, 0.13, 

Contest: COUNTY BOARD DIST 10
Candidate Name,Total Votes,Vote %
BOB KINNISON (NP), 1088, 99.36, 
Write-in (NP), 7, 0.64, 
NO CANDIDATE (NP), 0, 0, 

Contest: COUNTY BOARD DIST 13
Candidate Name,Total Votes,Vote %
RICK POLLACK (NP), 98, 62.03, 
MELISSA LEWIS (NP), 60, 37.97, 
Write-in (NP), 0, 0, 

Contest: COUNTY BOARD D13 UNEX
Candidate Name,Total Votes,Vote %
THOMAS A. HOOVER (NP), 87, 55.41, 
BOB HASTINGS (NP), 70, 44.59, 
Write-in (NP), 0, 0, 

Contest: COUNTY BOARD DIST 14
Candidate Name,Total Votes,Vote %
JOHN M. SWEENEY (NP), 1868, 99.79, 
Write-in (NP), 4, 0.21, 
NO CANDIDATE (NP), 0, 0, 

Contest: RET D2 HUTCHINSON
Candidate Name,Total Votes,Vote %
YES (NP), 45815, 86.58, 
NO (NP), 7104, 13.42, 

Contest: RET D17 ZENOFF
Candidate Name,Total Votes,Vote %
YES (NP), 46415, 86.6, 
NO (NP), 7184, 13.4, 

Contest: RET D17 HOLMGREN
Candidate Name,Total Votes,Vote %
YES (NP), 47075, 87.86, 
NO (NP), 6506, 12.14, 

Contest: V MACHESNEY SPEED LIMIT
Candidate Name,Total Votes,Vote %
NO (NP), 4757, 51.99, 
YES (NP), 4393, 48.01, 

Contest: HUSD 122 EDU TAX RATE
Candidate Name,Total Votes,Vote %
NO (NP), 11073, 60.65, 
YES (NP), 7184, 39.35, 

Contest: C VALLEY FIRE DIST
Candidate Name,Total Votes,Vote %
YES (NP), 6206, 59.31, 
NO (NP), 4257, 40.69, 

Contest: HARLEM FOREST PRESERVE
Candidate Name,Total Votes,Vote %
YES (NP), 11186, 73.47, 
NO (NP), 4040, 26.53, 

Contest: HARLEM TWP GAMBLING
Candidate Name,Total Votes,Vote %
YES (NP), 9295, 57.17, 
NO (NP), 6964, 42.83, 

Contest: HARLEM TWP GREEN SPACE
Candidate Name,Total Votes,Vote %
YES (NP), 10061, 67.88, 
NO (NP), 4761, 32.12, 

