




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
CHANNAHON PCT 001             1320                          224                           16.97%
CHANNAHON PCT 002             1546                          270                           17.46%
CHANNAHON PCT 003             1411                          256                           18.14%
CHANNAHON PCT 004             1283                          234                           18.24%
CHANNAHON PCT 005             1351                          151                           11.18%
CRETE PCT 001                 1302                          188                           14.44%
CRETE PCT 002                 1292                          112                           8.67%
CRETE PCT 003                 1217                          140                           11.50%
CRETE PCT 004                 1246                          210                           16.85%
CRETE PCT 005                 1253                          193                           15.40%
CRETE PCT 006                 1291                          232                           17.97%
CRETE PCT 007                 1196                          221                           18.48%
CRETE PCT 008                 1311                          201                           15.33%
CRETE PCT 009                 1185                          190                           16.03%
CRETE PCT 010                 987                           136                           13.78%
CRETE PCT 011                 1127                          215                           19.08%
CRETE PCT 012                 1033                          225                           21.78%
CUSTER PCT 001                984                           198                           20.12%
DU PAGE PCT 001               1486                          233                           15.68%
DU PAGE PCT 002               1398                          216                           15.45%
DU PAGE PCT 003               1462                          261                           17.85%
DU PAGE PCT 004               1142                          164                           14.36%
DU PAGE PCT 005               1146                          181                           15.79%
DU PAGE PCT 006               1129                          197                           17.45%
DU PAGE PCT 007               1284                          254                           19.78%
DU PAGE PCT 008               1296                          168                           12.96%
DU PAGE PCT 009               1016                          129                           12.70%
DU PAGE PCT 010               1373                          133                           9.69%
DU PAGE PCT 011               1287                          150                           11.66%
DU PAGE PCT 012               1235                          200                           16.19%
DU PAGE PCT 013               1458                          157                           10.77%
DU PAGE PCT 014               1316                          190                           14.44%
DU PAGE PCT 015               1180                          147                           12.46%
DU PAGE PCT 016               1316                          170                           12.92%
DU PAGE PCT 017               1421                          126                           8.87%
DU PAGE PCT 018               1323                          150                           11.34%
DU PAGE PCT 019               1392                          133                           9.55%
DU PAGE PCT 020               1253                          117                           9.34%
DU PAGE PCT 021               1430                          146                           10.21%
DU PAGE PCT 022               1422                          163                           11.46%
DU PAGE PCT 023               1249                          102                           8.17%
DU PAGE PCT 024               1014                          126                           12.43%
DU PAGE PCT 025               1234                          149                           12.07%
DU PAGE PCT 026               1195                          126                           10.54%
DU PAGE PCT 027               1477                          124                           8.40%
DU PAGE PCT 028               1436                          142                           9.89%
DU PAGE PCT 029               1275                          90                            7.06%
DU PAGE PCT 030               1208                          109                           9.02%
DU PAGE PCT 031               1122                          124                           11.05%
DU PAGE PCT 032               1549                          193                           12.46%
DU PAGE PCT 033               1384                          160                           11.56%
DU PAGE PCT 034               985                           285                           28.93%
DU PAGE PCT 035               912                           33                            3.62%
DU PAGE PCT 036               1597                          177                           11.08%
DU PAGE PCT 037               1337                          156                           11.67%
FLORENCE PCT 001              594                           107                           18.01%
FRANKFORT PCT 001             1298                          251                           19.34%
FRANKFORT PCT 002             1352                          280                           20.71%
FRANKFORT PCT 003             1367                          219                           16.02%
FRANKFORT PCT 004             1245                          185                           14.86%
FRANKFORT PCT 005             1229                          195                           15.87%
FRANKFORT PCT 006             1167                          230                           19.71%
FRANKFORT PCT 007             1250                          220                           17.60%
FRANKFORT PCT 008             1350                          178                           13.19%
FRANKFORT PCT 009             1292                          191                           14.78%
FRANKFORT PCT 010             1246                          187                           15.01%
FRANKFORT PCT 011             1197                          160                           13.37%
FRANKFORT PCT 012             1215                          223                           18.35%
FRANKFORT PCT 013             1135                          193                           17.00%
FRANKFORT PCT 014             1310                          158                           12.06%
FRANKFORT PCT 015             1290                          179                           13.88%
FRANKFORT PCT 016             1326                          213                           16.06%
FRANKFORT PCT 017             1602                          393                           24.53%
FRANKFORT PCT 018             1244                          307                           24.68%
FRANKFORT PCT 019             1288                          153                           11.88%
FRANKFORT PCT 020             1391                          197                           14.16%
FRANKFORT PCT 021             1178                          238                           20.20%
FRANKFORT PCT 022             1254                          298                           23.76%
FRANKFORT PCT 023             1246                          268                           21.51%
FRANKFORT PCT 024             1181                          205                           17.36%
FRANKFORT PCT 025             1205                          294                           24.40%
FRANKFORT PCT 026             1275                          289                           22.67%
FRANKFORT PCT 027             1071                          164                           15.31%
FRANKFORT PCT 028             1337                          256                           19.15%
FRANKFORT PCT 029             1471                          226                           15.36%
GREEN GARDEN PCT 001          1260                          258                           20.48%
GREEN GARDEN PCT 002          1267                          202                           15.94%
HOMER PCT 001                 1271                          187                           14.71%
HOMER PCT 002                 1463                          255                           17.43%
HOMER PCT 003                 1265                          212                           16.76%
HOMER PCT 004                 1405                          278                           19.79%
HOMER PCT 005                 1148                          197                           17.16%
HOMER PCT 006                 1249                          215                           17.21%
HOMER PCT 007                 1336                          197                           14.75%
HOMER PCT 008                 1241                          258                           20.79%
HOMER PCT 009                 1137                          169                           14.86%
HOMER PCT 010                 1397                          238                           17.04%
HOMER PCT 011                 1396                          204                           14.61%
HOMER PCT 012                 1458                          259                           17.76%
HOMER PCT 013                 1225                          175                           14.29%
HOMER PCT 014                 1923                          260                           13.52%
HOMER PCT 015                 1614                          246                           15.24%
HOMER PCT 016                 1173                          217                           18.50%
HOMER PCT 017                 1408                          259                           18.39%
HOMER PCT 018                 1553                          175                           11.27%
JACKSON PCT 001               1433                          248                           17.31%
JACKSON PCT 002               1369                          265                           19.36%
JOLIET PCT 001                1364                          167                           12.24%
JOLIET PCT 002                998                           218                           21.84%
JOLIET PCT 003                866                           141                           16.28%
JOLIET PCT 004                1213                          162                           13.36%
JOLIET PCT 005                1292                          107                           8.28%
JOLIET PCT 006                1304                          113                           8.67%
JOLIET PCT 007                1069                          163                           15.25%
JOLIET PCT 008                1140                          153                           13.42%
JOLIET PCT 009                1242                          125                           10.06%
JOLIET PCT 010                1137                          229                           20.14%
JOLIET PCT 011                1232                          147                           11.93%
JOLIET PCT 012                1305                          107                           8.20%
JOLIET PCT 013                1248                          83                            6.65%
JOLIET PCT 014                1317                          79                            6.00%
JOLIET PCT 015                1302                          105                           8.06%
JOLIET PCT 016                1230                          171                           13.90%
JOLIET PCT 017                1299                          280                           21.56%
JOLIET PCT 018                1312                          376                           28.66%
JOLIET PCT 019                1194                          215                           18.01%
JOLIET PCT 020                1288                          205                           15.92%
JOLIET PCT 021                1395                          287                           20.57%
JOLIET PCT 022                1404                          192                           13.68%
JOLIET PCT 023                1533                          120                           7.83%
JOLIET PCT 024                1167                          98                            8.40%
JOLIET PCT 025                1255                          198                           15.78%
JOLIET PCT 026                1098                          169                           15.39%
JOLIET PCT 027                646                           52                            8.05%
