




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
CHANNAHON PCT 001             1325                          93                            7.02%
CHANNAHON PCT 002             1532                          172                           11.23%
CHANNAHON PCT 003             1389                          157                           11.30%
CHANNAHON PCT 004             1286                          127                           9.88%
CHANNAHON PCT 005             1378                          69                            5.01%
CRETE PCT 001                 1341                          201                           14.99%
CRETE PCT 002                 1293                          195                           15.08%
CRETE PCT 003                 1238                          256                           20.68%
CRETE PCT 004                 1270                          183                           14.41%
CRETE PCT 005                 1229                          145                           11.80%
CRETE PCT 006                 1299                          128                           9.85%
CRETE PCT 007                 1182                          59                            4.99%
CRETE PCT 008                 1325                          268                           20.23%
CRETE PCT 009                 1159                          216                           18.64%
CRETE PCT 010                 997                           46                            4.61%
CRETE PCT 011                 1118                          95                            8.50%
CRETE PCT 012                 1030                          72                            6.99%
CUSTER PCT 001                996                           54                            5.42%
DU PAGE PCT 001               1494                          313                           20.95%
DU PAGE PCT 002               1388                          300                           21.61%
DU PAGE PCT 003               1461                          286                           19.58%
DU PAGE PCT 004               1132                          139                           12.28%
DU PAGE PCT 005               1134                          153                           13.49%
DU PAGE PCT 006               1144                          159                           13.90%
DU PAGE PCT 007               1297                          257                           19.81%
DU PAGE PCT 008               1320                          126                           9.55%
DU PAGE PCT 009               1018                          98                            9.63%
DU PAGE PCT 010               1389                          126                           9.07%
DU PAGE PCT 011               1292                          133                           10.29%
DU PAGE PCT 012               1219                          160                           13.13%
DU PAGE PCT 013               1438                          116                           8.07%
DU PAGE PCT 014               1319                          154                           11.68%
DU PAGE PCT 015               1155                          145                           12.55%
DU PAGE PCT 016               1327                          161                           12.13%
DU PAGE PCT 017               1447                          115                           7.95%
DU PAGE PCT 018               1350                          166                           12.30%
DU PAGE PCT 019               1404                          119                           8.48%
DU PAGE PCT 020               1270                          102                           8.03%
DU PAGE PCT 021               1436                          139                           9.68%
DU PAGE PCT 022               1405                          136                           9.68%
DU PAGE PCT 023               1271                          88                            6.92%
