Election: 2008 General Primary
Jurisdiction:  Winnebago
Date:  2008-02-05 00:00:00
Registered Voters:  98113
Ballots Cast:  20462
Voter Turnout:  21
Active Precincts:  127

Election: 2008 General Primary
Contest: PRESIDENT
Candidate Name,Total Votes,Vote %
D
BARACK OBAMA , 9006, 57.27, 
HILLARY CLINTON , 6352, 40.39, 
JOHN EDWARDS , 310, 1.97, 
JOE BIDEN , 19, 0.12, 
DENNIS J. KUCINICH , 17, 0.11, 
BILL RICHARDSON , 16, 0.1, 
CHRISTOPHER DODD , 6, 0.04, 
G
KENT PHILIP MESPLAY , 10, 29.41, 
CYNTHIA McKINNEY , 9, 26.47, 
JARED A. BALL , 9, 26.47, 
HOWIE HAWKINS , 6, 17.65, 
R
JOHN McCAIN , 6575, 41.99, 
MITT ROMNEY , 4597, 29.36, 
MIKE HUCKABEE , 3053, 19.5, 
RON PAUL , 1101, 7.03, 
FRED THOMPSON , 148, 0.95, 
RUDY GIULIANI , 135, 0.86, 
ALAN KEYES , 41, 0.26, 
TOM TANCREDO , 5, 0.03, 
JAMES MITCHELL , 4, 0.03, 

Contest: US SENATE
Candidate Name,Total Votes,Vote %
D
RICHARD J. DURBIN , 13621, 100, 
R
STEVE SAUERBERG , 7220, 57.53, 
ANDY MARTIN , 3926, 31.28, 
MIKE PSAK , 1405, 11.19, 

Contest: D16 CONGRESS
Candidate Name,Total Votes,Vote %
D
ROBERT G. ABBOUD , 12009, 100, 
R
DONALD A. MANZULLO , 14311, 100, 

Contest: D16 CONG REP DELEG
Candidate Name,Total Votes,Vote %
R
JOHN BORLING , 5945, 9.92, 
NINA STEPHENSON , 5450, 9.1, 
DONALD B. HALL , 5320, 8.88, 
WILLIAM L. HENNIGER , 5147, 8.59, 
JOHN J. RYAN , 3943, 6.58, 
DAVE MURRAY , 3860, 6.44, 
TIMOTHY N. KORITZ , 3819, 6.37, 
ANDY BLANKENBAKER , 3654, 6.1, 
DONALD A. MANZULLO , 2739, 4.57, 
JOSEPH W. STEFANI , 2615, 4.36, 
JOSEPH M. WIEGAND , 2600, 4.34, 
NICK KACHIROUBAS , 2483, 4.14, 
LUTHER LANDON , 2426, 4.05, 
DAVE SYVERSON , 2302, 3.84, 
DAVID WINTERS , 1653, 2.76, 
BRAD BURZYNSKI , 1117, 1.86, 
SAMUEL DAVID FELKER , 1069, 1.78, 
JAMES H. HAZELBOWER , 987, 1.65, 
JAMES RAINBOLT IV , 967, 1.61, 
