Election: 2005 Consolidated
Jurisdiction:  Winnebago
Date:  2005-04-05 00:00:00
Registered Voters:  105758
Ballots Cast:  19204
Voter Turnout:  18
Active Precincts:  126

Election: 2005 Consolidated
Contest: CHERRY VLY PRES
Candidate Name,Total Votes,Vote %
JAMES E. CLAEYSSEN (NP), 408, 63.16, 
JOHN F. FALZONE (NP), 236, 36.53, 
Write-in (NP), 2, 0.31, 

Contest: CHERRY VLY TRUSTEE
Candidate Name,Total Votes,Vote %
LINDA J. MELTON (NP), 398, 23.69, 
JILL E. MILLER (NP), 358, 21.31, 
TAD F. WHITCHURCH (NP), 324, 19.29, 
BRIAN J. RAWSON (NP), 222, 13.21, 
RANDALL JANSSEN (NP), 204, 12.14, 
ROSS L. CLIFFORD (NP), 171, 10.18, 
Write-in (NP), 3, 0.18, 

Contest: DURAND PRES
Candidate Name,Total Votes,Vote %
GARY L HAUGHTON (NP), 195, 70.65, 
GARY L INGRAM (NP), 80, 28.99, 
Write-in (NP), 1, 0.36, 

Contest: DURAND CLERK
Candidate Name,Total Votes,Vote %
TERESA M MOORE (NP), 187, 73.05, 
KARI WHALEN (NP), 69, 26.95, 
Write-in (NP), 0, 0, 

Contest: DURAND TRUSTEE
Candidate Name,Total Votes,Vote %
KENNETH E MOORE (NP), 218, 30.45, 
CHRISTY L BYL (NP), 173, 24.16, 
TERRY J McCORMICK (NP), 166, 23.18, 
KELLY WHALEN (NP), 159, 22.21, 
Write-in (NP), 0, 0, 

Contest: V DURAND TRUSTEE U2Y
Candidate Name,Total Votes,Vote %
DAN WALDEN (NP), 242, 99.59, 
Write-in (NP), 1, 0.41, 

Contest: LOVES PARK MAYOR
Candidate Name,Total Votes,Vote %
DARRYL F. LINDBERG (NP), 2435, 98.38, 
Write-in (NP), 40, 1.62, 

Contest: LOVES PARK CLERK
Candidate Name,Total Votes,Vote %
ROBERT J. BURDEN (NP), 2344, 99.79, 
Write-in (NP), 5, 0.21, 

Contest: LOVES PARK TREASURER
Candidate Name,Total Votes,Vote %
JOHN C. DANIELSON (NP), 2304, 99.78, 
Write-in (NP), 5, 0.22, 

Contest: LOVES PARK WD 1
Candidate Name,Total Votes,Vote %
CLINT W. LITTLE (NP), 389, 72.17, 
JERRY CASKEY (NP), 150, 27.83, 
Write-in (NP), 0, 0, 

Contest: LOVES PARK WD 2
Candidate Name,Total Votes,Vote %
THOMAS K. LAUGHLIN (NP), 514, 99.04, 
Write-in (NP), 5, 0.96, 

Contest: LOVES PARK WD 3
Candidate Name,Total Votes,Vote %
RICHARD O. BRINKER (NP), 446, 99.33, 
Write-in (NP), 3, 0.67, 

Contest: LOVES PARK WD 4
Candidate Name,Total Votes,Vote %
JOHN JACOBSON (NP), 474, 99.37, 
Write-in (NP), 3, 0.63, 

Contest: LOVES PARK WD 5
Candidate Name,Total Votes,Vote %
A. MARIE HOLMES (NP), 349, 99.15, 
Write-in (NP), 3, 0.85, 

Contest: MACHESNEY PK PRES
Candidate Name,Total Votes,Vote %
LINDA M. VAUGHN (NP), 2653, 69.98, 
THOMAS W. STRICKLAND (NP), 1132, 29.86, 
Write-in (NP), 6, 0.16, 

Contest: MACHESNEY PK CLERK
Candidate Name,Total Votes,Vote %
LORI J. MITCHELL (NP), 1935, 51.49, 
MARK LEE SORRENTINO (NP), 1819, 48.4, 
Write-in (NP), 4, 0.11, 

Contest: MACHESNEY PK TREAS
Candidate Name,Total Votes,Vote %
STEVE JOHNSON (NP), 3151, 98.9, 
Write-in (NP), 35, 1.1, 
NO CANDIDATE (NP), 0, 0, 

Contest: MACHESNEY PK D1 TRST
Candidate Name,Total Votes,Vote %
ROBBIN P SNODGRASS (NP), 389, 50.13, 
EDWARD G. LANGLEY (NP), 387, 49.87, 
Write-in (NP), 0, 0, 

Contest: MACHESNEY PK D3 TRST
Candidate Name,Total Votes,Vote %
MICHAEL LUKE (NP), 323, 51.76, 
PAUL J. STRALOW (NP), 299, 47.92, 
Write-in (NP), 2, 0.32, 

Contest: MACHESNEY PK D4 TRST
Candidate Name,Total Votes,Vote %
STANLEY J. WENTLAND (NP), 521, 98.67, 
Write-in (NP), 7, 1.33, 
NO CANDIDATE (NP), 0, 0, 

Contest: NEW MILLFORD TRUSTEE
Candidate Name,Total Votes,Vote %
DEANNA RODGERS (NP), 46, 34.59, 
DALE W. JOHNSON (NP), 45, 33.83, 
STANLEY A. WEISENSEL (NP), 42, 31.58, 
Write-in (NP), 0, 0, 

Contest: PECATONICA PRES
Candidate Name,Total Votes,Vote %
DANIEL R. MATHEWS (NP), 456, 62.3, 
ROBERT V. WHETSEL (NP), 275, 37.57, 
Write-in (NP), 1, 0.14, 

Contest: PECATONICA TRUSTEE
Candidate Name,Total Votes,Vote %
JOHN MOYER (NP), 591, 30.5, 
ROSS E. PARLAPIANO (NP), 484, 24.97, 
MATTHEW J. BROSE (NP), 439, 22.65, 
TONI R. SEAGREN (NP), 419, 21.62, 
Write-in (NP), 5, 0.26, 

Contest: PECATONICA TRST 2YR
Candidate Name,Total Votes,Vote %
ELIZABETH DOTY (NP), 656, 99.85, 
Write-in (NP), 1, 0.15, 

Contest: ROCKTON PRES
Candidate Name,Total Votes,Vote %
